time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-16 00:00:00+00:00,,,7,1
2022-11-17 00:00:00+00:00,1.0,1.0,10,1
2022-11-18 00:00:00+00:00,,,4,1
2022-11-19 00:00:00+00:00,,,3,1
